approve,current_title,new_title,shelf_size,shelf_shape,shelf_thickness,current_seo_title,new_seo_title,tags_to_add,notes,status,vendor,sku,handle,product_id,url
yes,"Gillespie Hollow Core Kiln Shelf - Half Round 20"" X 5/8""","Gillespie Hollow Core Kiln Shelf - 20"" Half Round, 5/8"" Thick","20"" Diameter",Half Round,"5/8""",,"Gillespie Hollow Core Kiln Shelf 20"" x 5/8"" Half Round",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS20HR,gillespie-kiln-shelf-half-round-20-x-5-8,gid://shopify/Product/15210948133235,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-half-round-20-x-5-8
yes,"Gillespie Hollow Core Kiln Shelf - Half Round 26"" X 5/8""","Gillespie Hollow Core Kiln Shelf - 26"" Half Round, 5/8"" Thick","26"" Diameter",Half Round,"5/8""",,"Gillespie Hollow Core Kiln Shelf 26"" x 5/8"" Half Round",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS26HR,gillespie-kiln-shelf-half-round-26-x-5-8,gid://shopify/Product/15210948723059,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-half-round-26-x-5-8
yes,"Gillespie Hollow Core Kiln Shelf - Octagon 15"" X 15"" X 5/8""","Gillespie Hollow Core Kiln Shelf - 15"" Full 8-Sided, 5/8"" Thick","15"" Diameter",Full 8-Sided,"5/8""",,"Gillespie Hollow Core Kiln Shelf 15"" x 5/8"" Full 8-Sided",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS15OCT,gillespie-kiln-shelf-octagon-15-x-15-x-5-8,gid://shopify/Product/15210949575027,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-octagon-15-x-15-x-5-8
yes,"Gillespie Hollow Core Kiln Shelf - Half Decagon  20-3/4"" X 3/4""","Gillespie Hollow Core Kiln Shelf - 20 3/4"" Half 10-Sided, 3/4"" Thick","20 3/4"" Diameter",Half 10-Sided,"3/4""",,"Gillespie Hollow Core Kiln Shelf 20 3/4"" x 3/4"" Half 10-Sided",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS20HD,gillespie-kiln-shelf-half-decagon-20-3-4-x-3-4,gid://shopify/Product/15210949247347,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-half-decagon-20-3-4-x-3-4
yes,"Gillespie Hollow Core Kiln Shelf - Half Dodecagon  26"" X 1""","Gillespie Hollow Core Kiln Shelf - 26"" Half 12-Sided, 1"" Thick","26"" Diameter",Half 12-Sided,"1""",,"Gillespie Hollow Core Kiln Shelf 26"" x 1"" Half 12-Sided",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS26HD,gillespie-kiln-shelf-half-dodecagon-26-x-1,gid://shopify/Product/15210948919667,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-half-dodecagon-26-x-1
yes,"Gillespie Hollow Core Kiln Shelf - Rectangle 22"" X 11"" X 1""","Gillespie Hollow Core Kiln Shelf - 11"" x 22"" Rectangle, 1"" Thick","11"" x 22""",Rectangle,"1""",,"Gillespie Hollow Core Kiln Shelf 11"" x 22"" x 1"" Rectangle",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS22111,gillespie-kiln-shelf-rectangle-22-x-11-x-1,gid://shopify/Product/15210948395379,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-rectangle-22-x-11-x-1
yes,"Gillespie Hollow Core Kiln Shelf - Square 24"" X 12"" X 1""","Gillespie Hollow Core Kiln Shelf - 12"" x 24"" Rectangle, 1"" Thick","12"" x 24""",Rectangle,"1""",,"Gillespie Hollow Core Kiln Shelf 12"" x 24"" x 1"" Rectangle",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Old title called this 24 x 12 shelf ""Square""; it is a rectangle. Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS24121,gillespie-hollow-core-kiln-shelf-square-24-x-12-x-1,gid://shopify/Product/15398169969011,https://www.sheffield-pottery.com/products/gillespie-hollow-core-kiln-shelf-square-24-x-12-x-1
yes,"Gillespie Hollow Core Kiln Shelf - Square 24"" X 24"" X 1""","Gillespie Hollow Core Kiln Shelf - 24"" x 24"" Square, 1"" Thick","24"" x 24""",Square,"1""",,"Gillespie Hollow Core Kiln Shelf 24"" x 24"" x 1"" Square",Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories,"Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,HAMMILL & GILLESPIE,HGKS24241,gillespie-kiln-shelf-square-24-x-24-x-1,gid://shopify/Product/15210948559219,https://www.sheffield-pottery.com/products/gillespie-kiln-shelf-square-24-x-24-x-1
no,"olympic 21"" x 1/2 shelf",,"21"" Diameter",,,,,Kiln Shelves; Kiln Shelves - Posts - Cones and Kiln Firing Accessories; Olympic Kiln Shelves and Furniture Kits,"Only one dimension and no round/sided keyword: shape unknown. Title/description only say ""21"" x 1/2 shelf"": likely a 21"" HALF shelf (SKU OLHS21, $59), thickness and round vs 10-sided unknown. Fill in shelf_shape, shelf_thickness and new_title, then set approve=yes. Missing from the ""Kiln Shelves and Posts"" collection until the Kiln Shelves tag is added.",ACTIVE,Olympic Kilns,OLHS21,olympic-21-x-1-2-shelf-olhs21,gid://shopify/Product/8312933679426,https://www.sheffield-pottery.com/products/olympic-21-x-1-2-shelf-olhs21
yes,"15 1/2"" X 5/8"" Full Round Spectrum High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 15 1/2"" Full Round, 5/8"" Thick","15 1/2"" Diameter",Full Round,"5/8""","15 1/2"" x 5/8"" FULL ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 15 1/2"" x 5/8"" Full Round",,,ACTIVE,Spectrum Kiln Shelves,SPHA04,kiln-shelf-spha04,gid://shopify/Product/8316331196738,https://www.sheffield-pottery.com/products/kiln-shelf-spha04
yes,"20"" X 3/4"" Full Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 20"" Full Round, 3/4"" Thick","20"" Diameter",Full Round,"3/4""","20"" x 3/4"" FULL ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 20"" x 3/4"" Full Round",,,ACTIVE,Spectrum Kiln Shelves,SPHA13,kiln-shelf-spha13,gid://shopify/Product/8316332179778,https://www.sheffield-pottery.com/products/kiln-shelf-spha13
yes,"21"" X 3/4"" Full Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 21"" Full Round, 3/4"" Thick","21"" Diameter",Full Round,"3/4""",KILN SHELF,"Spectrum High Alumina Kiln Shelf 21"" x 3/4"" Full Round",,,ACTIVE,Spectrum Kiln Shelves,SPHA02,kiln-shelf-spha02,gid://shopify/Product/8316330934594,https://www.sheffield-pottery.com/products/kiln-shelf-spha02
yes,"15 1/2"" X 5/8"" Half Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 15 1/2"" Half Round, 5/8"" Thick","15 1/2"" Diameter",Half Round,"5/8""","15 1/2"" x 5/8"" HALF ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 15 1/2"" x 5/8"" Half Round",,,ACTIVE,Spectrum Kiln Shelves,SPHA05,kiln-shelf-spha05,gid://shopify/Product/8316331262274,https://www.sheffield-pottery.com/products/kiln-shelf-spha05
yes,"20"" X 3/4"" Half Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 20"" Half Round, 3/4"" Thick","20"" Diameter",Half Round,"3/4""","20"" x 3/4"" HALF ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 20"" x 3/4"" Half Round",,"Vendor part no. #20H is shared with the 20"" Half 10-Sided shelf.",ACTIVE,Spectrum Kiln Shelves,SPHA14,kiln-shelf-spha14,gid://shopify/Product/8316332441922,https://www.sheffield-pottery.com/products/kiln-shelf-spha14
yes,"21"" X 3/4"" Half Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 21"" Half Round, 3/4"" Thick","21"" Diameter",Half Round,"3/4""","21"" x 3/4"" HALF ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 21"" x 3/4"" Half Round",,,ACTIVE,Spectrum Kiln Shelves,SPHA03,kiln-shelf-spha03,gid://shopify/Product/8316331131202,https://www.sheffield-pottery.com/products/kiln-shelf-spha03
yes,"26 1/2"" X 1"" Half Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 26 1/2"" Half Round, 1"" Thick","26 1/2"" Diameter",Half Round,"1""","27 1/2"" x 3/4"" HALF ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 26 1/2"" x 1"" Half Round",,"Old SEO title said 27 1/2"" and meta description says 28 1/2""; fix the meta description too.",ACTIVE,Spectrum Kiln Shelves,SPHA261,26-1-2-x-1-half-round-high-alumina-kiln-shelf,gid://shopify/Product/15042839904627,https://www.sheffield-pottery.com/products/26-1-2-x-1-half-round-high-alumina-kiln-shelf
yes,"26 1/2"" X 3/4"" Half Round High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 26 1/2"" Half Round, 3/4"" Thick","26 1/2"" Diameter",Half Round,"3/4""","27 1/2"" x 3/4"" HALF ROUND HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 26 1/2"" x 3/4"" Half Round",,"Old SEO title said 27 1/2"" and meta description says 28 1/2""; fix the meta description too.",ACTIVE,Spectrum Kiln Shelves,SPHA01,kiln-shelf-spha01,gid://shopify/Product/8316330737986,https://www.sheffield-pottery.com/products/kiln-shelf-spha01
yes,"20"" X 3/4"" Half 10 Sided High Semi-Hollow Kiln Shelf","Spectrum High Alumina Semi-Hollow Kiln Shelf - 20"" Half 10-Sided, 3/4"" Thick","20"" Diameter",Half 10-Sided,"3/4""","20"" X 3/4"" 10 Sided High Semi-Hollow Half Shelf","Spectrum Semi-Hollow Kiln Shelf 20"" x 3/4"" Half 10-Sided",,,ACTIVE,Spectrum Kiln Shelves,SPHC4,20-x-3-4-10-sided-high-semi-hollow-half-shelf-sphc4,gid://shopify/Product/8316333424962,https://www.sheffield-pottery.com/products/20-x-3-4-10-sided-high-semi-hollow-half-shelf-sphc4
yes,"21"" X 10 1/2"" X 3/4""  Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 10 1/2"" x 21"" Rectangle, 3/4"" Thick","10 1/2"" x 21""",Rectangle,"3/4""","21"" x 10 1/2"" x 3/4""  RECTANGLE HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 10 1/2"" x 21"" x 3/4"" Rectangle",,Hidden options-app product (OPTIONS_HIDDEN_PRODUCT): no category tags added.,ACTIVE,Spectrum Kiln Shelves,SPHA06,21-x-10-1-2-x-3-4-rectangle-high-alumina-kiln-shelf,gid://shopify/Product/8304912957762,https://www.sheffield-pottery.com/products/21-x-10-1-2-x-3-4-rectangle-high-alumina-kiln-shelf
yes,"22"" X 11"" X 1"" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 11"" x 22"" Rectangle, 1"" Thick","11"" x 22""",Rectangle,"1""","22"" x 11"" x 1"""" Rectangle HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 11"" x 22"" x 1"" Rectangle",,,ACTIVE,Spectrum Kiln Shelves,SPHA22111,kiln-shelf-spha22111,gid://shopify/Product/8316332998978,https://www.sheffield-pottery.com/products/kiln-shelf-spha22111
yes,"11 x22 x3/4"" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 11"" x 22"" Rectangle, 3/4"" Thick","11"" x 22""",Rectangle,"3/4""","11 x22 x3/4"" Rectangle Kiln Shelf | High Alumina Kiln Sheves","Spectrum High Alumina Kiln Shelf 11"" x 22"" x 3/4"" Rectangle",,,ACTIVE,Spectrum Kiln Shelves,SPHA15,11-x22-x3-4-kiln-shelf-spha15,gid://shopify/Product/8316332605762,https://www.sheffield-pottery.com/products/11-x22-x3-4-kiln-shelf-spha15
yes,"24"" X 12"" X 3/4"" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 12"" x 24"" Rectangle, 3/4"" Thick","12"" x 24""",Rectangle,"3/4""","24"" x 12"" x 3/4"" RECTANGLE HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 12"" x 24"" x 3/4"" Rectangle",,,ACTIVE,Spectrum Kiln Shelves,SPHA07,kiln-shelf-spha07,gid://shopify/Product/8316331360578,https://www.sheffield-pottery.com/products/kiln-shelf-spha07
yes,"26"" X 13"" X 3/4"" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 13"" x 26"" Rectangle, 3/4"" Thick","13"" x 26""",Rectangle,"3/4""","26"" x 13"" x 3/4"" RECTANGLE HIGH ALUMI","Spectrum High Alumina Kiln Shelf 13"" x 26"" x 3/4"" Rectangle",,"Description says 26"" x 13"" x 1""; title and SKU say 3/4"" (the 1"" version is archived). Fix the description.",ACTIVE,Spectrum Kiln Shelves,SPHA09,kiln-shelf-spha09,gid://shopify/Product/8316331786562,https://www.sheffield-pottery.com/products/kiln-shelf-spha09
yes,"14"" X 18 X 5/8"""" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 14"" x 18"" Rectangle, 5/8"" Thick","14"" x 18""",Rectangle,"5/8""","14"" x 18 x 5/8"""" Rectangle HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 14"" x 18"" x 5/8"" Rectangle",,Hidden options-app product (OPTIONS_HIDDEN_PRODUCT): no category tags added. Draft: not visible on the storefront.,DRAFT,Spectrum Kiln Shelves,SPHA141858,14-x-18-x-5-8-rectangle-high-alumina-kiln-shelf,gid://shopify/Product/8304913056066,
yes,"28"" X 14"" X 1"" Rectangle High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 14"" x 28"" Rectangle, 1"" Thick","14"" x 28""",Rectangle,"1""","28"" x 14"" x 1"" RECTANGLE HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 14"" x 28"" x 1"" Rectangle",,,ACTIVE,Spectrum Kiln Shelves,SPHA10,kiln-shelf-spha10,gid://shopify/Product/8316332015938,https://www.sheffield-pottery.com/products/kiln-shelf-spha10
yes,"16"" X 16"" X 5/8"" Square High Alumina Kiln Shelf","Spectrum High Alumina Kiln Shelf - 16"" x 16"" Square, 5/8"" Thick","16"" x 16""",Square,"5/8""","16"" x 16"" x 5/8"" RECTANGLE HIGH ALUMINA KILN SHELF","Spectrum High Alumina Kiln Shelf 16"" x 16"" x 5/8"" Square",,Draft: not visible on the storefront.,DRAFT,Spectrum Kiln Shelves,SPHA17,kiln-shelf-spha17,gid://shopify/Product/8316332769602,
